exchange,timestamp,side,price,quantity
Backpack,2025-12-02T14:53:02.234422+00:00,buy,88974.8,0.00100
Backpack,2025-12-02T15:03:13.878512+00:00,sell,0,0.00100
Backpack,2025-12-02T15:04:04.920403+00:00,sell,90034.5,0.00100
Backpack,2025-12-02T15:33:15.050592+00:00,buy,90204.1,0.00100
Backpack,2025-12-02T15:34:01.981911+00:00,buy,89906.1,0.00100
Backpack,2025-12-02T15:36:46.862331+00:00,sell,90152.5,0.00100
Backpack,2025-12-02T15:41:14.368452+00:00,sell,90382.8,0.00100
Backpack,2025-12-02T15:43:29.609630+00:00,sell,90715.2,0.00100
Backpack,2025-12-02T15:44:25.643311+00:00,buy,90610.7,0.00100
Backpack,2025-12-02T15:45:52.496296+00:00,sell,90678.0,0.00100
Backpack,2025-12-02T15:51:43.474101+00:00,sell,91145.5,0.00100
Backpack,2025-12-02T15:54:44.395437+00:00,buy,90939.2,0.00100
Backpack,2025-12-02T15:58:03.041266+00:00,buy,90806.3,0.00100
Backpack,2025-12-02T15:59:15.946167+00:00,sell,90899.1,0.00100
Backpack,2025-12-02T16:01:12.730890+00:00,sell,91034.9,0.00100
Backpack,2025-12-02T16:03:07.426024+00:00,buy,91077.1,0.00100
Backpack,2025-12-02T16:03:46.300939+00:00,buy,90987.0,0.00100
Backpack,2025-12-02T16:04:28.233786+00:00,sell,91068.7,0.00100
Backpack,2025-12-02T16:05:04.981518+00:00,sell,91065.7,0.00100
Backpack,2025-12-02T16:05:31.650204+00:00,sell,91144.9,0.00100
Backpack,2025-12-02T16:06:12.964252+00:00,buy,90985.8,0.00100
Backpack,2025-12-02T16:06:53.386540+00:00,buy,90921.5,0.00100
Backpack,2025-12-02T16:07:37.297752+00:00,sell,90908.8,0.00100
Backpack,2025-12-02T16:08:32.697932+00:00,buy,91012.5,0.00100
Backpack,2025-12-02T16:08:41.478720+00:00,sell,91038.1,0.00100
Backpack,2025-12-02T16:08:53.531486+00:00,sell,91084.4,0.00100
Backpack,2025-12-02T16:09:43.753231+00:00,buy,91009.8,0.00100
Backpack,2025-12-02T16:10:21.168926+00:00,sell,91065.4,0.00100
Backpack,2025-12-02T16:11:02.582727+00:00,sell,90964.5,0.00100
Backpack,2025-12-02T16:12:55.264519+00:00,sell,90951.6,0.00100
Backpack,2025-12-02T16:14:01.189084+00:00,buy,90785.0,0.00100
Backpack,2025-12-02T16:14:49.695551+00:00,sell,90810.2,0.00100
Backpack,2025-12-02T16:16:04.330829+00:00,sell,90644.2,0.00100
Backpack,2025-12-02T16:16:14.377412+00:00,buy,90620.2,0.00100
Backpack,2025-12-02T16:16:52.039919+00:00,buy,0,0.00100
Backpack,2025-12-02T16:18:19.660768+00:00,buy,0,0.00100
Backpack,2025-12-02T16:20:31.729821+00:00,sell,90689.2,0.00200
Backpack,2025-12-02T16:22:19.933954+00:00,buy,90371.6,0.00200
Backpack,2025-12-02T16:23:12.258206+00:00,sell,90319.9,0.00200
Backpack,2025-12-02T16:45:54.226344+00:00,sell,90588.6,0.00200
Backpack,2025-12-02T16:46:39.702450+00:00,buy,0,0.00200
Backpack,2025-12-02T16:46:49.748139+00:00,sell,90667.0,0.00200
Backpack,2025-12-02T16:47:11.920890+00:00,buy,90629.4,0.00200
Backpack,2025-12-02T16:47:51.775646+00:00,sell,90666.2,0.00200
Backpack,2025-12-02T16:48:27.983660+00:00,buy,0,0.00200
Backpack,2025-12-02T16:48:35.096187+00:00,buy,90571.1,0.00200
Lighter,2025-12-02T16:48:46.413237+00:00,SHORT,90383.2712,0.00200
Backpack,2025-12-02T16:49:28.864815+00:00,buy,90517.0,0.00200
Lighter,2025-12-02T16:49:40.242755+00:00,SHORT,90352.7324,0.00200
Backpack,2025-12-02T16:50:50.556271+00:00,sell,90559.4,0.00200
Lighter,2025-12-02T16:51:01.849036+00:00,LONG,90735.3084,0.00200
Backpack,2025-12-02T16:51:09.665142+00:00,sell,90629.7,0.00200
Lighter,2025-12-02T16:51:21.036837+00:00,LONG,90826.4904,0.00200
Backpack,2025-12-02T16:51:41.244141+00:00,sell,90763.3,0.00200
Lighter,2025-12-02T16:51:52.828794+00:00,LONG,90929.6964,0.00200
Backpack,2025-12-02T16:52:13.083162+00:00,buy,90780.0,0.00200
Lighter,2025-12-02T16:52:24.421107+00:00,SHORT,90598.5398,0.00200
Backpack,2025-12-02T16:57:20.766872+00:00,buy,90981.2,0.00200
Lighter,2025-12-02T16:57:32.149405+00:00,SHORT,90874.1874,0.00200
Backpack,2025-12-02T16:58:26.455173+00:00,sell,90861.3,0.00200
Lighter,2025-12-02T16:58:37.916383+00:00,LONG,91027.4916,0.00200
Backpack,2025-12-02T16:58:48.017344+00:00,buy,90817.1,0.00200
